wavelength,fractal_dimension,fraction_of_coating,primary_particle_size,number_of_primary_particles,vol_equi_radius_outer,vol_equi_radius_inner,equi_mobility_dia
530,2.9,70,22.4,36.0,73.9631703752396,49.5289087334193,221.303247539309
660,2.7,30,16.9,105.0,79.7290282673493,70.7654097047479,288.21643399195
660,2.5,50,18.9,60.0,73.9909984180915,58.7230146175329,242.294990567015
467,2.1,60,20.4,500.0,161.914907300756,119.055078897614,771.134907337941
467,2.3,90,29.0,14.0,69.8941256610816,36.1521339626284,176.990024529176
467,2.7,15,15.8,39.0,53.5811407996238,50.8681716452125,162.601867756029
467,2.7,90,29.0,5.0,49.5893024536242,25.6496392001504,104.688311081234
467,2.3,40,17.8,42.0,61.8732742789788,52.1403996732967,190.24034889729
660,1.9,70,22.4,16.0,56.4444630352903,37.7976314968461,146.343926362268
530,1.7,80,25.6,275.0,166.475705196977,97.544358513854,713.38690400371
467,1.7,90,29.0,105.0,136.813125429179,70.7654097047479,494.572579039441
660,2.3,90,29.0,650.0,251.209340548861,129.935865801135,1253.16801910163
467,2.9,60,20.4,34.0,66.0880807460606,48.5941770191622,195.753667965888
467,1.7,5,15.3,9.0,31.8252824926941,31.2012573457785,74.538492301518
467,2.3,10,15.5,2.0,19.5287762733705,18.898815748423,35.0656980923666
660,1.9,1,15.1,200.0,88.3053356940285,87.7205321463859,357.707246645646
660,2.7,80,25.6,3.0,36.9215889998696,21.6337435546111,71.2192340443975
530,2.9,50,18.9,9.0,39.3135842556809,31.2012573457785,92.0769610783458
660,2.7,20,16.2,36.0,53.4912214320929,49.5289087334193,160.049670095393
530,1.9,1,15.1,500.0,119.848779423599,119.055078897614,570.791034353083
